Lot Number,Current Bid,Name,Brand,Model,UPC,Condition,Functionality,Damage?,Missing Items?,Damage Description,Missing Item Description,Notes,Grand Average Price,Average Shipping Price,Recommended Highest Bid Amount,Current Profit Margin,Flagged
28,$9.00,Philips Hue Lily XL Outdoor Smart Spot Light - White & Color Ambiance LED Walkway Lights - Low Voltage Lighting - 1 Pack - Requires Bridge and Power Supply - Control with App and Voice - Weatherproof,Philips Hue,Spot Light,,Excellent,Yes,No,No,,,,,,,,No
30,$12.00,"GIGABYTE B650 AORUS Elite AX AMD B650 ATX Motherboard with DDR5, PCIe 5.0, WiFi 6E, 5-Year Warranty",GIGABYTE,B650 AORUS ELITE AX,889523033623,New(other),Unable to Test,No,No,,,,,,,,No
31,$12.00,Logitech G Pro X Superlight 2 Lightspeed Wireless Gaming Mouse White,Logitech G,,097855177834,Open Box - Tested,Yes,No,No,,,,,,,,No
32,$13.00,"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Beats Black",,Beats Fit Pro,194252484296,Open Box - Tested,Yes,Yes,No,Right earbud doesn't work,,,,,,,No
33,$0.00,"ComfiLife Anti Fatigue Floor Mat 3/4 Inch Thick Kitchen Mats for Floor, Standing Desk Mat, Kitchen Rug Comfort at Home, Office Durable Stain Resistant Non-Slip Bottom (20"" x 32"", Brown)",ComfiLife,AFM-SMA-2032-BRW,,New(other),Yes,No,No,,,,,,,,No
34,$5.00,"6.5' Pre-lit Christmas Tree with Clear+Multi LED, Douglas Fir, Galvanized Frame, Hinged, Includes Stand Ideal Xmas Tree for Home & Office",Holiday Tree,H78-776-385LX,,New,Yes,No,No,,,,,,,,No
35,$5.00,"TALSTILA Foot Rest for Under Desk at Work, Footrest with Warm Plush Feet Pocket, Ergonomic 2 Adjustable Heights Foot Stool, Under Desk Footrests, for Office Desks & Chair - Back & Leg Pain Relief",,,,New,Yes,No,No,,,,,,,,No
36,$7.00,"Metal Demon Sword 104cm/41inchs,Stainless Steel, Hashira Pillar and Protagonist Katana for Anime Cosplay, Anime Original Textures, Multiple Styles to Choose from",Sword fort,1,,New,Yes,No,No,,,,,,,,No
37,$6.00,"CORSAIR Premium Individually Sleeved PSU Cables Pro Kit for Corsair PSUs White, 2 Year Warranty",Corsair,CORSAIR Premium Individually Sleeved PSU Cables Pro Kit,,New(other),Yes,No,No,,,,,,,,No
38,$5.00,"Sony LinkBuds Truly Wireless Earbud Headphones with an Open-Ring Design for Ambient Sounds and Alexa Built-in, Bluetooth Ear Buds Compatible with iPhone and Android, White",,Sony LinkBuds Truly Wireless Earbuds,,New(other),Unable to Test,No,No,,,,,,,,No
39,$12.00,"Apple Watch SE (2nd Gen) GPS 40mm Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor",,MR9Y3LL/A,194253769392,New,Yes,No,No,,,,,,,,No
40,$0.00,"Aothia Leather Desk Pad Protector, Mouse Pad, Office Desk Mat, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)",,PEG_USK-03JUNE23-B08WWTG2JS,,New(other),Yes,No,No,,,,,,,,No
41,$5.00,Infinity Heart Necklace for Women Birthstone Necklace for Women Necklace for Wife Girlfriend Silver Jewelry for Women,,QN207-1,,New,Yes,No,No,,,,,,,,No
42,$7.00,"Audien ATOM 2 Wireless Rechargeable OTC Hearing Aid, Premium Comfort Design and Nearly Invisible",,Atom 2,860009028036,Open Box - Not Tested,Unable to Test,No,No,,,,,,,,No
43,$6.00,"MiracleLED Absolute Daylight Spectrum Grow Light 6-Pack, Replace 100W (604863)",Miracle LED,"Absolute Daylight Spectrum Grow Light 6-Pack, Replace 100W",,New,Yes,No,No,,,,,,,,No
44,$5.00,"Nathan James Hylie Nailhead Wood Height Kitchen Counter Bar Stool, 29"", Gray/White",Nathan James,21401,,New,Yes,No,No,,,,,,,,No
45,$0.00,Infinity Heart Necklace for Women Birthstone Necklace for Women Necklace for Wife Girlfriend Silver Jewelry for Women,,QN207-1,,New,Yes,No,No,,,Gold not silver,,,,,No
46,$18.00,"AKASO Brave 8 Lite Waterproof Action Camera with 4K60 Ultra HD Video, 20MP Photos, HDR, Touch Screen, SuperSmooth Stabilization, 8X Slow Motion, Zoom, Super Wide Angle, Remote Control and Accessories",,Brave 8 Lite,,Open Box - Not Tested,Yes,No,No,,,,,,,,No
47,$10.00,"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Beats Black",,Beats Fit Pro,194252484296,Open Box - Tested,Yes,Yes,No,Right earbud doesn't work,,,,,,,No
48,$5.00,"TP-Link Dual-Band AX3000 Wi-Fi 6 Router Archer AX55 | Wireless Gigabit Internet Router for Home | EasyMesh Compatible | VPN Clients & Server | HomeShield, OFDMA, MU-MIMO | USB 3.0 | Secure by Design",,Archer AX55,840030703041,New,Yes,No,No,,,,,,,,No
49,$11.00,"MSI PRO B760-P WiFi DDR4 ProSeries Motherboard (Supports 12th/13th/14th Gen Intel Processors, LGA 1700, DDR4, PCIe 4.0, M.2, 2.5Gbps LAN, USB 3.2 Gen2, HDMI/DP, Wi-Fi 6E, Bluetooth 5.3, ATX)",MSI,PROB760PWIFID4,824142306864,Open Box - Not Tested,Unable to Test,No,Yes,,Missing pin from cpu pin socked,,,,,,No
50,$0.00,Iefil Birthstone Necklace for Women - Sterling Silver Heart Necklace Anniversary Birthday Gifts for Her Wife Mom Daughter,,,,New,Yes,No,No,,,,,,,,No
51,$6.00,"MiracleLED Absolute Daylight Spectrum Grow Light 6-Pack, Replace 100W (604863)",Miracle LED,"Absolute Daylight Spectrum Grow Light 6-Pack, Replace 100W",,New,Yes,No,No,,,,,,,,No
52,$22.00,"Royal Berkey Gravity-Fed Water Filter System 3.25 Gallon with 2 Black Berkey Elements, 2 Berkey PF-2 Fluoride and Arsenic Reduction Elements",Berkey,RB4X2-BB+PF2,,New,Yes,No,No,,,,,,,,No
53,$0.00,"Tyger Auto 3.5"" Rider Running Boards Compatible with 2020-2025 Jeep Gladiator JT | TG-SS2J35198 | Side Step Rail Nerf Bars",Tyger Auto,TG-SS2J35198,,New(other),Yes,No,No,,,,,,,,No
54,$9.00,Signature Design by Ashley Queen Size Chime 12 Inch Medium Firm Hybrid Mattress with Cooling Gel Memory Foam for Pressure Relief,,M69731,,New,Yes,No,No,,,,,,,,No
55,$5.00,"Logitech MX Keys Mini Minimalist Wireless Illuminated Keyboard, Compact, Bluetooth, Backlit, USB-C, Compatible with Apple macOS, iOS, Windows, Linux, Android, Metal Build - Pale Gray",Logitech,920-010473,097855169594,Open Box - Not Tested,Yes,No,Yes,,Missing the A key,,,,,,No
56,$13.00,"VINGLI 32"" Plastic Folding Round Table Bar Height, HDPE Matrial with Gray Metal Finish, High Top Table for Outdoor Party, Cafes, Restaurants, Backyard, Dining Room, Wedding Event,1 Pack, Black",VINGLI,Folding Table,,New(other),Yes,No,No,,,Color white,,,,,No
57,$12.00,"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Beats Black",,Beats Fit Pro,194252484296,Open Box - Tested,Yes,Yes,No,Right earbud doesn't work,,,,,,,No
58,$0.00,Iefil Birthstone Necklace for Women - Sterling Silver Heart Necklace Anniversary Birthday Gifts for Her Wife Mom Daughter,,,,New,Yes,No,No,,,,,,,,No
59,$10.00,"HyperX Cloud Alpha - Gaming Headset, Dual Chamber Drivers, Legendary Comfort, Aluminum Frame, Detachable Microphone, Works on PC, PS4, PS5, Xbox One/ Series X|S, Nintendo Switch and Mobile Red",,HyperX Cloud Alpha,196188048030,Used,Unable to Test,No,No,,,,,,,,No
60,$5.00,"Logitech G PRO X SUPERLIGHT Wireless Gaming Mouse, Ultra-Lightweight, HERO 25K Sensor, 25,600 DPI, 5 Programmable Buttons, Long Battery Life, Compatible with PC / Mac - Black",Logitech G,910-005878,097855158017,Open Box - Tested,Yes,No,No,,,,,,,,No
61,$0.00,Restaurantware 5 Ounce Beer Tasting Glasses Set Of 6 Wide Rim Beer Flight Glasses - Fine-Blown Tempered Rim Heavy Base Dishwasher-Safe Clear Glass Mini Beer Glasses For Beers Ales or Samples,Restaurantware,RWG0104,,New(other),Yes,No,No,,,,,,,,No
62,$10.00,"Honeywell Home RENEWRTH9585WF Smart Color Thermostat (Renewed), Silver (RENEWRTH9585WF/U)",Honeywell Home,RENEWRTH9585WF/U,,Open Box - Not Tested,Unable to Test,No,No,,,,,,,,No
63,$0.00,"Logitech Wave Keys Wireless Ergonomic Keyboard with Cushioned Palm Rest, Comfortable Natural Typing, Easy-Switch, Bluetooth, Logi Bolt Receiver, for Multi-OS, Windows/Mac - Rose",Logitech,920-012276,,Used,Unable to Test,No,Yes,,Missing the wireless receiver,,,,,,No
64,$0.00,"Timers for Electrical Outlets Indoor, AaiVrylliz 3-Prong Dual Outlet Timer,24-Hour 30 Minute Daily On/Off Cycle, Plug-in Mechanical Timers for Christmas Lights, Lamps, Grow Light",AaiVrylliz,MT01-1,,New,Yes,No,No,,,,,,,,No
65,$14.00,"Apple Watch SE (2nd Gen) GPS 40mm Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor",,MR9Y3LL/A,194253769392,New,Yes,No,No,,,Comes with a 41MM BAND,,,,,No
66,$5.00,"TP-Link Dual-Band AX3000 Wi-Fi 6 Router Archer AX55 | Wireless Gigabit Internet Router for Home | EasyMesh Compatible | VPN Clients & Server | HomeShield, OFDMA, MU-MIMO | USB 3.0 | Secure by Design",,Archer AX55,840030703041,New,Yes,No,No,,,,,,,,No
67,$10.00,"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Sunset Pink",,Studio Buds,,Open Box - Tested,Yes,No,Yes,,Missing the chargers Ear tips And other accessories,,,,,,No
68,$9.00,SteelSeries Aerox 3 Wireless - Holey RGB Gaming Mouse - Ultra-lightweight Water Resistant Design - 18K DPI TrueMove Air Optical Sensor -Snow,SteelSeries,62608,5707119043298,New(other),Unable to Test,No,No,,,,,,,,No
69,$5.00,"NETGEAR Nighthawk 6-Stream AX5400 WiFi 6 Router (RAX50) - AX5400 Dual Band Wireless Speed (Up to 5.4 Gbps) | 2,500 sq. Ft. Coverage",,RAX50-100NAS,606449144895,New(other),Unable to Test,No,No,,,,,,,,No
70,$9.00,"Turtle Beach Burst II Air 2.4GHz Wireless Gaming Mouse: 47g Ultra Lightweight, Optical Switches, Symmetrical, 26K DPI Optical Sensor, Bluetooth, 120-hour Battery, USB-C Cable White",Turtle Beach,TBM-2101-15,731855721016,Open Box - Not Tested,Unable to Test,No,No,,,,,,,,No
71,$0.00,"Timers for Electrical Outlets Indoor, AaiVrylliz 3-Prong Dual Outlet Timer,24-Hour 30 Minute Daily On/Off Cycle, Plug-in Mechanical Timers for Christmas Lights, Lamps, Grow Light",AaiVrylliz,MT01-1,,New,Yes,No,No,,,,,,,,No
72,$21.00,Razer Huntsman V2 TKL Tenkeyless Gaming Keyboard: Fast Linear Optical Switches Gen2 w/Sound Dampeners & 8000Hz Polling Rate - Detachable TypeC Cable - Doubleshot PBT Keycaps - Ergonomic Wrist Rest,Razer,RZ03-03940200-R3U1,810056143077,New(other),Yes,No,No,,,,,,,,No
73,$0.00,"APPLE PIE ORDER Nursery basket, Storage & organizer Bin for Baby, Diapers, Wipes, Books, Toys. White Canvas fabric Decorative Box with Embroidering. (Toys - colorful, Medium)",,,,New,Yes,No,No,,,,,,,,No
74,$21.00,"Apple Watch SE (2nd Gen) GPS 40mm Smartwatch with Silver Aluminum Case with Denim Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",,MXEC3LL/A,195949642296,New(other),Yes,No,No,,,,,,,,No
75,$5.00,"Amazon Brand - Mama Bear Gentle Touch Diapers, Hypoallergenic, Size 4, 148 Count, 4 Packs of 37, White",,,,New,Yes,No,No,,,,,,,,No
76,$0.00,Facial Tissue With Lotion - Up&up : Target,,,AI_3784990,New,Yes,No,No,,,,,,,,No
77,$5.00,"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - White",,Beats Studio Buds,194252388396,Used,No,Yes,No,,,,,,,,No
78,$0.00,Facial Tissue With Lotion - Up&up : Target,,,AI_3784990,New,Yes,No,No,,,,,,,,No
79,$0.00,Facial Tissue With Lotion - Up&up : Target,,,AI_3784990,New,Yes,No,No,,,,,,,,No
80,$5.00,UPPAbaby Infant Snug Seat / Compatible with Vista and Cruz Strollers / 2 in 1 Newborn to Toddler Comfort Insert,,0920-SNG-WW,,New,Yes,No,No,,,,,,,,No
81,$0.00,"Tennis Racket - Super Value Set with Pre-Strung, Comfortable Handle, 27' Tennis Racquet for Adults, Includes 3 Tennis Balls, 2 Overgrips and 1 Tennis Bag",MBFISH,MB-TR,,New(other),Yes,No,No,,,,,,,,No
82,$10.00,"Final UX3000 Bluetooth Wireless Headphones, Hi-Fi Sound Quality, Hybrid Noise Cancelling, Maximum 35 Hours Music Playback, aptX Low Latency, Multipoint Connection, Designed in Japan (White) (Black)",,UX3000 White,,Open Box - Not Tested,Unable to Test,No,No,,,Sold as is,,,,,No
83,$7.00,"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - White",,Beats Studio Buds,,Open Box - Tested,Yes,No,Yes,,Not in original box Missing accessories,,,,,,No
84,$5.00,"Filtrete 20x20x1 AC Furnace Air Filter, MERV 13, MPR 2200, Elite Allergen, Bacteria & Virus Filter, 3-Month Pleated 1-Inch Electrostatic Air Cleaning Filter, 6-Pack (Actual Size 19.69x19.69x0.78 in)",,EA02-6PK-1E,,New,Yes,No,No,,,,,,,,No
85,$10.00,"NEEWER 18"" LED Ring Light Kit for Makeup YouTube TikTok Video Blogger Salon, Adjustable Color Temperature with Battery/DC Power Option, USB Battery Charger, AC Adapter, Phone Clamp and Stand",,10095029,,New,Yes,No,No,,,,,,,,No
86,$6.00,"Giro Trig MIPS Ski Helmet - Snowboard Helmet for Men, Women & Youth -",Giro,Trig Mips,,New(other),Yes,No,No,,,,,,,,No
87,$0.00,Facial Tissue With Lotion - Up&up : Target,,,AI_3784990,New,Yes,No,No,,,,,,,,No
88,$13.00,"Apple Watch SE (2nd Gen) GPS 40mm Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",,MXE93LL/A,195949641756,New,Yes,No,No,,,,,,,,No
89,$40.00,"MACKENZIE-CHILDS Enamel Tea Kettle, Stylish Tea Kettle for Stovetop, Brown-and-White Mocha Check, 2 Quarts",MACKENZIE-CHILDS,89257-840,,New,Yes,No,No,,,,,,,,No
90,$0.00,"Adjustable TV Tray Table - TV Dinner Tray on Bed & Sofa, Comfortable Folding Table with 6 Height & 3 Tilt Angle Adjustments (Black)",HUANUO,HNTT-B,,New,Yes,No,No,,,,,,,,No
91,$31.00,"MACKENZIE-CHILDS Waste Bin, Decorative Bedroom Trash Can or Bathroom Trash Can, Brown-and-White Mocha Check",,,,New(other),Yes,No,No,,,,,,,,No
92,$5.00,"Pampers Pure Protection Diapers Newborn - Size 0, 128 Count, Hypoallergenic Premium Disposable Baby Diapers",,KUKIUUBK,030772046517,New,Yes,No,No,,,,,,,,No
93,$5.00,"Raised Toilet Seat with Handles - Width & Height AdjustableToilet Seat Risers for Seniors, Heavy Duty Handicap Toilet Seat Riser, Fit Any Toilet, Up to 400lbs, Dark Gray",Agrish,Raised-Toilet-Seat-Agrish,,New,Yes,No,No,,,,,,,,No
94,$11.00,GIGABYTE B760 DS3H AC DDR4 (LGA 1700/ Intel/ B760/ ATX/ DDR4/ M.2/ PCIe 4.0/ USB 3.2 Gen 2 Type-C/Realtek Wi-Fi/Realtek GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Motherboard),GIGABYTE,B760 DS3H AC DDR4,889523035139,New,Yes,No,No,,,,,,,,No
95,$9.00,GIGABYTE GP-UD1000GM 1000W 80 Plus Gold Certified Fully Modular Power Supply,GIGABYTE,GP-UD1000GM,,Open Box - Not Tested,Unable to Test,No,No,,,,,,,,No
96,$0.00,"Crane Ultrasonic Elephant Humidifier, 1 Gallon Cool Mist Animal Humidifier for Nursery and Bedroom, Auto Shut-Off, Optional Filter",,EE-3186,,New(other),Yes,No,No,,,,,,,,No
97,$0.00,"Dreamsmith 3 Inch 7-Zone Queen Memory Foam Mattress Topper, Cooling Gel Infused Foam Mattress Topper Queen for Pressure Relief, CertiPUR-US Certified",Dreamsmith,3 Inch 7-Zone Queen Memory Foam Mattress Topper,,New,Yes,No,No,,,,,,,,No
98,$0.00,"Iefil Rose Heart Necklace Gifts for Wife Women - 925 Sterling Silver Double Birthstone Necklace, Anniversary Birthday Gifts for Women, Jewelry Gifts for Wife Girlfriend Mom Her",,,,New,Yes,No,No,,,,,,,,No
99,$8.00,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 32 Regular Rolls, Everyday Value with 150 Sheets per Roll",,,,New,Yes,No,No,,,,,,,,No
100,$0.00,Infinity Heart Necklace for Women Birthstone Necklace for Women Necklace for Wife Girlfriend Silver Jewelry for Women,,QN207-1,,New,Yes,No,No,,,,,,,,No
101,$6.00,"Storage Baskets, Fabric Storage Bins, Versatile Storage Baskets for Shelves with Handles, Large Closet Organizers for Shelves, Clothing, Toys, Books (3-Pack 15.7x11.8x8.2 inch, White&Khaki)",,sb-01,,New,Yes,No,No,,,,,,,,No
102,$6.00,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 32 Regular Rolls, Everyday Value with 150 Sheets per Roll",,,,New,Yes,No,No,,,,,,,,No
103,$6.00,Utopia Home Plastic Hangers 50 Pack - Perfect for Clothes Hanger Space Saving - Durable and Strong Coat or Pant Hangers for Closet Organizers and Storage with Shoulder Grooves (White),Utopia Home,UH0146,,New,Yes,No,No,,,,,,,,No
104,$0.00,"Ivation Air Conditioner Support Bracket, No Tools or Drilling Required - Easy to Install Window AC Mount - Heavy Duty Steel, Holds Up to 200lbs - Fits Single Or Double Hung Windows 19.25H by 17.25L",,IVAACMOUNT,,Used,Yes,No,No,,,,,,,,No
105,$0.00,"BLANKNYC Womens Vegan Leather Joggers, Fashionable & Stylish PantsVegan Leather Joggers, Fashionable & Stylish Pants",,01GB2948,797503450721,New,Yes,No,No,,,,,,,,No
106,$5.00,"Apple Watch SE (2nd Gen) GPS 44mm Smartwatch with Starlight Aluminum Case with Starlight Sport Band M/L. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",,MXEV3LL/A,195949645808,New(other),Yes,No,No,,,It comes with a 46MM BAND,,,,,No
107,$8.00,"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Black",,Beats Studio Buds,,Open Box - Not Tested,Unable to Test,No,No,,,Doesn't come with any accessories Unable to test as it doesn't not connect to the phone Sold as is,,,,,No
108,$10.00,"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Beats Black",,Beats Fit Pro,,Open Box - Tested,Yes,Yes,No,The left earbud doesn't work Doesn't come with any accessories,,,,,,,No
109,$0.00,"BLANKNYC Womens High Rise Vegan Leather Pant, Comfortable & Stylish Leggings",,45IJ2453,797503331112,New,Yes,No,No,,,,,,,,No
110,$0.00,Compatible with Leather Car Center Console Armrest Box SUZUKI SX4 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 (Not Fit SX-4 S-CROSS) Armrests Storage Box(Black),SZSS-CAR,,,New,Yes,No,No,,,,,,,,No
111,$5.00,"Mattitude Kitchen Mat 2 PCS Cushioned Anti-Fatigue Non-Skid Waterproof Rugs Ergonomic Comfort Standing Mat for Kitchen, Floor, Office, Sink, Laundry, Blue and Gray",Mattitude,,,New,Yes,No,No,,,,,,,,No
112,$0.00,"Adjustable TV Tray Table - TV Dinner Tray on Bed & Sofa, Comfortable Folding Table with 6 Height & 3 Tilt Angle Adjustments (Black)",HUANUO,HNTT-B,,New,Yes,No,No,,,,,,,,No
113,$0.00,Standing Tower Step Stool for Kids Toddler Non-Slip Sturdy Natural Wood Two Step Stools with Handles Non-Slip Pads for Child Kids Toddler Kitchen Counter Helper Bathroom Toilet Bed Potty Sink,Naitesen,NXXT101,,Used,Unable to Test,No,No,,,,,,,,No
114,$0.00,"HUANUO Single Monitor Mount, 13 to 32 Inch Gas Monitor Arm, Adjustable Stand, Vesa Mount with Clamp and Grommet Base - Fits 4.4 to 19.8lbs LCD Computer Monitors",,HNSS6,,New,Yes,No,No,,,,,,,,No
